author_id,text,sentiment
470692220,"RT @DiesolarteDiego: soy un viajero MTB y amante dela naturaleza, amo a mi Colombia, cambiemos esta vaina por que la corrupción nos esta de…",joy
1391742913860747265,RT @ClaroMusicaCO: ✨ ARMY ✨: Ustedes vienen pidiendo pantallas para celebrar el cumple de Hobi 😏…¡Sus deseos son órdenes! 🤩  Lleguemos a 10…,joy
193359374,@IvanDuque @Europarl_ES Gracias presidente.Ha puesto a Colombia en un punto alto,joy
1400566191387811852,"“He vuelto a inscribir mi nombre para competir por la presidencia de Colombia, aquí estoy, otra vez, sin cansancio, como desde que empecé hace más de 20 años” #AquíEstoyPor @sergio_fajardo https://t.co/HfwECOIBt9",joy
1222430880855183360,"RT @InfoFreestyle2: ¡FMS Colombia 🇨🇴!

MBAKA 🇪🇦 será el HOST para la Temporada 1 de FMS Colombia 🇨🇴.

#FMSColombia 🇨🇴 https://t.co/z9r7KWwx…",joy
1337716025467367426,RT @ClaroMusicaCO: ✨ ARMY ✨: Ustedes vienen pidiendo pantallas para celebrar el cumple de Hobi 😏…¡Sus deseos son órdenes! 🤩  Lleguemos a 10…,joy
719193144559058948,RT @CeDemocratico: Desde el @CeDemocratico compartimos el mismo sentimiento de agradecimiento de este pequeño sincelejano hacia el presiden…,joy
1249940796620648451,@OIZuluaga @CeDemocratico @Horadelaverdad El uribismo salvando a Colombia del uribismo,joy
1467616969260216323,Sentido de pertenencia rodolfo hernandes un hombre que crea emociones convencido que es lo que colombia necesita sin odios! Sin extrategias politiqueras sin oportunismos politicos https://t.co/f5PfDDvN8p,joy
300637408,"@DCoronell @VickyDavilaH Usted le ha devuelto algo de dignidad al periodismo en Colombia. Creo que usted, después de la Nueva Prensa, ha devuelto la confianza en los periodistas en este país.",joy
178201432,"RT @MariaFdaCabal: Gracias a cada soldado de Colombia, que hace sacrificios todos los días por la seguridad de sus compatriotas. Ser soldad…",joy
1416117003027423233,RT @FicoGutierrez: Los espero en el debate del Equipo por Colombia de @Hora20 y @CaracolRadio. Vamos con toda por un mejor país.🇨🇴💪🏻#FicoPr…,joy
179249517,"RT @InfoFreestyle2: ¡FMS Colombia 🇨🇴!

MBAKA 🇪🇦 será el HOST para la Temporada 1 de FMS Colombia 🇨🇴.

#FMSColombia 🇨🇴 https://t.co/z9r7KWwx…",joy
1307299599107973124,"RT @Penguinlibrosco: ¡NOTICIÓN! Lectores de Wattpad y fans de @EvaMuozBenitez, la saga completa de #PecadosPlacenteros llega a Penguin Rand…",joy
1363822559335186435,"RT @DiesolarteDiego: soy un viajero MTB y amante dela naturaleza, amo a mi Colombia, cambiemos esta vaina por que la corrupción nos esta de…",joy
1018972518386950145,RT @Mercede91121158: Buena esa me da súper alto gusto que estos diputados digan la verdad de todo el horror que se vive en Colombia bajo la…,joy
1086554544,"RT @jorgema86854804: #AquiEstoyPor ayudar a construir un mejor país. Donde prime la decencia, los buenos modales, la ética y la educación.…",joy
1336785333837570051,RT @FicoGutierrez: Los espero en el debate del Equipo por Colombia de @Hora20 y @CaracolRadio. Vamos con toda por un mejor país.🇨🇴💪🏻#FicoPr…,joy
1454676814526300162,#AquiEstoyPor  podemos cambiar a Colombia https://t.co/H7qbfPMqe7,joy
2254978527,"RT @InfoFreestyle2: ¡FMS Colombia 🇨🇴!

MBAKA 🇪🇦 será el HOST para la Temporada 1 de FMS Colombia 🇨🇴.

#FMSColombia 🇨🇴 https://t.co/z9r7KWwx…",joy
1336785333837570051,"RT @SLP_HERRERA_EJC: ¡Buenos días #Colombia! 🇨🇴

Iniciemos el día con una sonrisa. https://t.co/uZaIdRiAnT",joy
1369719426443075588,"“Colombia va a cambiar en estas elecciones, queda poco para dejar atrás el continuismo y esquivar el odio y la improvisación. Por eso estoy aquí, para que nos unamos y transformemos a Colombia juntos” #AquíEstoyPor @sergio_fajardo https://t.co/iKnvsL4muF",joy
1085525309192134658,"RT @Fennix73: 🇨🇺 ""Cuba no es Corea del Norte, viva Fidel"" - Cubano 1957

🇻🇪 ""Venezuela no es Cuba, viva Chávez"" - Venezolano 1999

🇨🇴 ""Colo…",joy
1624388018,@MrxSoki Apoyando al parcero en la buena desde Colombia. https://t.co/VwiitGJPpR,joy
1451596658907754501,RT @MariaZa24793725: #TeamAndrelfi Si Colombia 🇨🇴 tiene a Karol G  Ecuador 🇪🇨 tiene a Andreina Bravo 😌😍 https://t.co/DDVfZ5wQmV,joy
229954866,"RT @ABarriosBernal: Nos mueve Colombia, nos mueve una fuerza imparable con una convicción clara, una pasión por dejar un legado de servicio…",joy
141792032,RT @FicoGutierrez: Los espero en el debate del Equipo por Colombia de @Hora20 y @CaracolRadio. Vamos con toda por un mejor país.🇨🇴💪🏻#FicoPr…,joy
1320128264313180161,RT @ClaroMusicaCO: ✨ ARMY ✨: Ustedes vienen pidiendo pantallas para celebrar el cumple de Hobi 😏…¡Sus deseos son órdenes! 🤩  Lleguemos a 10…,joy
1243689072159346688,"RT @MariaFdaCabal: Gracias a cada soldado de Colombia, que hace sacrificios todos los días por la seguridad de sus compatriotas. Ser soldad…",joy
2786840809,"RT @Tolaymaruja: Ales Char es el presidente que Colombia necesita porque demostró que es capaz de tener moza, que su mujer sepa y más sin e…",joy
1471885876997373957,RT @Mercede91121158: Buena esa me da súper alto gusto que estos diputados digan la verdad de todo el horror que se vive en Colombia bajo la…,joy
3820227490,"RT @Redi_andes: #15Feb || ¡ CONTUNDENTE GOLPE CONTRA EL NARCOTRÁFICO! ||  Efectivo adscritos al D-215 en el P.A.C ""Vega de Aza"" lograron la…",joy
1115740799742820353,"RT @ejercito_cedoc: Así son nuestras futuras suboficiales del @COL_EJERCITO , valientes, esforzadas e imparables en su preparación por #Col…",joy
2479441946,@elnodal 🫀💖 🇨🇴🇲🇽  te esperamos en Colombia !!!! Christian. Eres arte bb. 🥰😍🤤😘 https://t.co/rGBEF54RSx,joy
2786840809,"RT @JERobledo: Luego de una mañana de debates serios, seguimos caminando las calles de Bogotá con nuestras voluntarias y voluntarios de la…",joy
1296298447113527298,@elnodal Felicitaciones machiwi esperamos ese forajido con toda en COLOMBIA 🇨🇴 🙌🙌🙌🙌,joy
1140290304089702400,"RT @InfoFreestyle2: ¡FMS Colombia 🇨🇴!

MBAKA 🇪🇦 será el HOST para la Temporada 1 de FMS Colombia 🇨🇴.

#FMSColombia 🇨🇴 https://t.co/z9r7KWwx…",joy
